originalKdmName,ourGameName,auditDisplayName,methodToMake,sourceExpansion,sourceLocation,sourceMonsterOrEvent,ourItemType,ourSlot,ourWeaponType,ourHands,ourKeywords,card1Text,card2Text,card3Text,card4Text,passiveEffects,statusAndMechanicsTouched,weakPointRole,harvestRole,partyRole,riskOrDrawback,implementationComplexity,sourceUrl,verificationStatus
CYCLOID SCALE SKIRT,Moonless Cycloid Scale Skirt,Moonless Cycloid Scale Skirt (CYCLOID SCALE SKIRT),"Unlock: crafted, quarryDiscovery | Location: Sky Reef Sanctuary | Source: Sky Reef | Cost: 1 Reef Shell; 1 Sky Fin; 1 Cloud Bone",Expansions of Death,Sky Reef Sanctuary,Sky Reef,legs,waist,armor,0,"Defensive, Party, WoundCare",Moonless Cycloid Scale Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Moonless Cycloid Scale Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Sky Reef Sanctuary.pdf,verified
CYCLOID SCALE SLEEVES,Dusk Cycloid Scale Sleeves,Dusk Cycloid Scale Sleeves (CYCLOID SCALE SLEEVES),"Unlock: crafted, quarryDiscovery | Location: Sky Reef Sanctuary | Source: Sky Reef | Cost: 1 Reef Shell; 1 Sky Fin; 1 Cloud Bone",Expansions of Death,Sky Reef Sanctuary,Sky Reef,arms,arms,armor,0,"Defensive, Party, WoundCare",Dusk Cycloid Scale Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Dusk Cycloid Scale Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Sky Reef Sanctuary.pdf,verified
D.B.K. ERRANT BADGE,Sable D.B.K. Errant Badge,Sable D.B.K. Errant Badge (D.B.K. ERRANT BADGE),"Unlock: crafted, quarryDiscovery | Location: Wet Resin Crafter | Source: Dung Beetle Knight | Cost: 1 Chitin Plate; 1 Beetle Horn",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Wet Resin Crafter,Dung Beetle Knight,charm,charm,charm,0,"Charm, Passive, Survival, Crystal","Sable D B Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Wet Resin Crafter.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Wet Resin Crafter (Fen's Dagger Emporium).pdf,verified
DARK WATER VIAL,Stormbound Dark Water Vial,Stormbound Dark Water Vial (DARK WATER VIAL),"Unlock: crafted, quarryDiscovery | Location: Light Forging | Source: Lonely Tree/Light | Cost: 1 Bone; 1 Sinew",Expansions of Death,Light Forging,Lonely Tree/Light,tool,tool,consumable,0,"Tool, Survival, Retreat","Stormbound Dark Water Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"One-use effect for a difficult hunt, retreat, condition clear, or risky power spike.",Retreat,Uses consumable weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Light Forging.pdf,verified
DAYDREAM DAGGER,Daydream Knife,Daydream Knife (DAYDREAM DAGGER),"Unlock: crafted, quarryDiscovery | Location: Dark Catarium | Source: White Lion | Cost: 1 Pale Lion Hide; 1 Pale Lion Sinew",Fen's Fan Expansions / Black Lion,Dark Catarium,White Lion,weapon,weapon,dagger,1,"Quick, Precise, Harvest, Predator","Daydream Knife Feint — Cost 0 Attack. [Damage: 2; Break: 4; Status: Apply Marked] Deal 2 damage. If targeting a fragile weak point, deal +2 break damage. Apply Marked.","Daydream Knife Carve — Cost 1 Attack. [Damage: 4; Break: 3] Deal 4 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If targeting a Head, Eye or Organ weak point, improve harvest quality one step on a break.","Daydream Knife Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,Harvest,Uses dagger weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Black Lion/KDM - Dark Catarium.pdf,verified
DEATH MASK,Death Visage,Death Visage (DEATH MASK),"Unlock: crafted, quarryDiscovery, rareHarvestOrEvent | Location: Mask Maker | Source: Spidicules | Event: promo/vignette/settlement/hunt event table | Cost: 1 Silk Gland; 1 Venom Sac; 1 Webbed Hide",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Mask Maker,Spidicules,charm,head,charm,0,"Charm, Passive, Survival, Web","Death Visage Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",Web,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Base Game/KDM - Mask Maker.pdf; References - PDF/Community Edition 2.0/KDM - Mask Maker (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Mask Maker (SIP).pdf,verified
DEATH'S WAIL (HUNT PHASE),Bone-Lit Death's Wail (Hunt Phase),Bone-Lit Death's Wail (Hunt Phase) (DEATH'S WAIL (HUNT PHASE)),"Unlock: crafted, rareHarvestOrEvent | Location: Hunting Hall | Event: promo/vignette/settlement/hunt event table | Cost: 1 Bone; 1 Sinew; 1 Organ",Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Bone Lit Death Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Bone Lit Death Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
DEATH'S WAIL (SHOWDOWN PHASE),Mourning Death's Wail (Showdown Phase),Mourning Death's Wail (Showdown Phase) (DEATH'S WAIL (SHOWDOWN PHASE)),"Unlock: crafted, rareHarvestOrEvent | Location: Hunting Hall | Event: promo/vignette/settlement/hunt event table | Cost: 1 Bone; 1 Sinew; 1 Organ",Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Mourning Death s Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Mourning Death s Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
DENSE BONE ARROWS,Kindled Dense Bone Arrows,Kindled Dense Bone Arrows (DENSE BONE ARROWS),"Unlock: crafted, quarryDiscovery, promoOrEvent | Location: Giga-Catarium | Source: White Lion | Event: promo/vignette/settlement/hunt event table | Cost: 1 Pale Lion Hide; 1 Pale Lion Claw; 1 Pale Lion Sinew",Vignettes of Death,Giga-Catarium,White Lion,weapon,weapon,bow,1,"Ranged, Marking, Precise, Predator","Kindled Dense Bone Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Kindled Dense Bone Shot — Cost 1 Attack. [Damage: 4; Break: 5] Deal 4 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Kindled Dense Bone Pinning Volley — Cost 2 Attack. [Damage: 3 x2; Status: Snared 1] Deal 3 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Vignettes of Death/KDM - Giga-Catarium (White Gigalion).pdf,verified
DENTICLE AXE,Pale Denticle Axe,Pale Denticle Axe (DENTICLE AXE),"Unlock: crafted, quarryDiscovery | Location: Sky Reef Sanctuary | Source: Sky Reef | Cost: 1 Reef Shell; 1 Sky Fin; 1 Cloud Bone",Expansions of Death,Sky Reef Sanctuary,Sky Reef,weapon,weapon,axe,1,"Heavy, Brutal, Harvest","Pale Denticle Axe Hew — Cost 1 Attack. [Damage: 9; Break: 6] Deal 9 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Pale Denticle Axe Split — Cost 1 Attack. [Damage: 7; Status: Bleed 2] Deal 7 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Pale Denticle Axe Overhead — Cost 2 Attack. [Damage: 12; Exhaust] Deal 12 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,Harvest,Uses axe weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Sky Reef Sanctuary.pdf,verified
DIGGING CLAW,Hollow Digging Claw,Hollow Digging Claw (DIGGING CLAW),"Unlock: crafted, quarryDiscovery | Location: Wet Resin Crafter | Source: Dung Beetle Knight | Cost: 1 Chitin Plate; 1 Beetle Horn",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Wet Resin Crafter,Dung Beetle Knight,tool,tool,tool,0,"Tool, Harvest, Retreat, Crystal","Hollow Digging Claw Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Wet Resin Crafter.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Wet Resin Crafter (Fen's Dagger Emporium).pdf,verified
DRAGON ARMOR SET,Ember Drake Armor Set,Ember Drake Armor Set (DRAGON ARMOR SET),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,set,set,armor,0,"Defensive, Party, WoundCare, Fire",Ember Drake Armor Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ember Drake Armor Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Fire, Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
DRAGON BELT,Ember Drake Belt,Ember Drake Belt (DRAGON BELT),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,legs,waist,armor,0,"Defensive, Party, WoundCare, Fire",Ember Drake Belt Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ember Drake Belt Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Fire, Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
DRAGON BITE BOLT,Ember Drake Bite Bolt,Ember Drake Bite Bolt (DRAGON BITE BOLT),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,weapon,weapon,bow,1,"Ranged, Marking, Precise, Fire","Ember Drake Bite Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Ember Drake Bite Shot — Cost 1 Attack. [Damage: 7; Break: 6] Deal 7 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Ember Drake Bite Pinning Volley — Cost 2 Attack. [Damage: 6 x2; Status: Snared 1] Deal 6 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile burning organ weak point improves harvest quality odds.,Fire,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
DRAGON BOOTS,Ember Drake Treads,Ember Drake Treads (DRAGON BOOTS),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,legs,legs,armor,0,"Defensive, Party, WoundCare, Fire",Ember Drake Treads Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ember Drake Treads Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Fire, Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
DRAGON CHAKRAM,Ember Drake Chakram,Ember Drake Chakram (DRAGON CHAKRAM),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,weapon,weapon,bow,1,"Ranged, Marking, Precise, Fire","Ember Drake Chakram Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Ember Drake Chakram Shot — Cost 1 Attack. [Damage: 7; Break: 6] Deal 7 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Ember Drake Chakram Pinning Volley — Cost 2 Attack. [Damage: 6 x2; Status: Snared 1] Deal 6 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile burning organ weak point improves harvest quality odds.,Fire,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
DRAGON GLOVES,Ember Drake Gloves,Ember Drake Gloves (DRAGON GLOVES),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,arms,arms,armor,0,"Defensive, Party, WoundCare, Fire",Ember Drake Gloves Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ember Drake Gloves Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Fire, Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
DRAGON MANTLE,Ember Drake Mantle,Ember Drake Mantle (DRAGON MANTLE),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,body,body,armor,0,"Defensive, Party, WoundCare, Fire",Ember Drake Mantle Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ember Drake Mantle Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Fire, Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
DRAGON SLAYER,Ember Drake Slayer,Ember Drake Slayer (DRAGON SLAYER),"Unlock: crafted, quarryDiscovery, rareHarvestOrEvent | Location: Blacksmith | Source: Dragon King | Event: promo/vignette/settlement/hunt event table | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland; 1 Imperial Horn",Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium,Blacksmith,Dragon King,weapon,weapon,grandWeapon,2,"Heavy, Brutal, Guardbreaker, Fire","Ember Drake Slayer Hew — Cost 2 Attack. [Damage: 15; Break: 8] Deal 15 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Ember Drake Slayer Split — Cost 1 Attack. [Damage: 13; Status: Bleed 2] Deal 13 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Ember Drake Slayer Overhead — Cost 2 Attack. [Damage: 18; Exhaust] Deal 18 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,Fire,Uses grandWeapon weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Base Game/KDM - Blacksmith.pdf; References - PDF/Community Edition 2.0/KDM - Blacksmith (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Blacksmith (Dagger Emporium).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Blacksmith (Fen's Dagger Emporium).pdf,verified
DRAGON SLAYER (BROKEN),Ember Drake Slayer (Broken),Ember Drake Slayer (Broken) (DRAGON SLAYER (BROKEN)),"Unlock: crafted, quarryDiscovery, rareHarvestOrEvent | Location: Blacksmith | Source: Dragon King | Event: promo/vignette/settlement/hunt event table | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland; 1 Imperial Horn",Community Edition 2.0,Blacksmith,Dragon King,weapon,weapon,grandWeapon,2,"Heavy, Brutal, Guardbreaker, Fire","Ember Drake Slayer Hew — Cost 2 Attack. [Damage: 15; Break: 8] Deal 15 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Ember Drake Slayer Split — Cost 1 Attack. [Damage: 13; Status: Bleed 2] Deal 13 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Ember Drake Slayer Overhead — Cost 2 Attack. [Damage: 18; Exhaust] Deal 18 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,Fire,Uses grandWeapon weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Community Edition 2.0/KDM - Blacksmith (CE 2.0).pdf,verified
DRAGONSKULL HELM,Ember Drakeskull Crown,Ember Drakeskull Crown (DRAGONSKULL HELM),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Crystal Bone; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,head,head,armor,0,"Defensive, Party, WoundCare, Fire",Ember Drakeskull Crown Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ember Drakeskull Crown Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Fire, Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
