duplicateGroup,equipmentName,cardName,cardId,change,beforeShortEffect,afterShortEffect,beforeFullEffect,afterFullEffect,beforeCoreFields
1001,Shadow Saliva Shawl,Shadow Saliva Shawl — Contingency,shadowSalivaShawlContingency,second pass added rider panicBrake,,"When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource; You may gain Panic 1 to increase one listed value by 1.",,"When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If this is the only card you play this turn, gain +2 block. You may gain Panic 1 to increase one listed value by 1.",{}
1002,Raptor-Worm Collar,Raptor-Worm Collar — Contingency,raptorWormCollarContingency,second pass added rider guardedAlly,,"When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource; After this resolves, one adjacent ally gains Guarded 1.",,"When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If used on a hunt node, also mark one gathered resource as confirmed. After this resolves, one adjacent ally gains Guarded 1.",{}
visibleEffect-pass1-1,Ring Whip,Ring Whip — Payoff,ringWhipPayoff,added visible rider markedPressure,"Deal 6 damage and 2 break damage. If this breaks a weak point, resolve Bleed 1 and the counterReady rider.","Deal 6 damage and 2 break damage. If this breaks a weak point, resolve Bleed 1 and the counterReady rider; If the quarry is Marked, add +1 to one listed value.","Deal 6 damage and 2 break damage. If the weak point breaks, apply Bleed 1 and resolve: If played after blocking, your next Counter gains +2 damage.","Deal 6 damage and 2 break damage. If the weak point breaks, apply Bleed 1 and resolve: If played after blocking, your next Counter gains +2 damage. If the quarry is Marked, add +1 to one listed value.",{}
visibleEffect-pass1-2,Gloom Cream,Gloom Cream — Contingency,gloomCreamContingency,added visible rider allyCover,"When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource; After this resolves, the lowest-HP ally gains Guarded 1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If the quarry is Marked, draw 1 then discard 1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If the quarry is Marked, draw 1 then discard 1. After this resolves, the lowest-HP ally gains Guarded 1.",{}
visibleEffect-pass1-3,Beetle Bomb,Beetle Bomb — Contingency,beetleBombContingency,added visible rider bloodPrice,"When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource; You may take Panic 1 to increase one listed value by 1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If used on a hunt node, also mark one gathered resource as confirmed.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If used on a hunt node, also mark one gathered resource as confirmed. You may take Panic 1 to increase one listed value by 1.",{}
visibleEffect-pass1-4,Musk Bomb,Musk Bomb — Contingency,muskBombContingency,added visible rider harvestHook,"When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource; If this opens or breaks a weak point, improve the next harvest test by +1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If this would drop you to 0 HP, resolve the card first, then die if still at 0 HP.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If this would drop you to 0 HP, resolve the card first, then die if still at 0 HP. If this opens or breaks a weak point, improve the next harvest test by +1.",{}
visibleEffect-pass1-5,Noonspot Lantern,Noonspot Lantern — Contingency,noonspotLanternContingency,added visible rider steadyHands,"When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 3; on retreat, preserve 1 gathered resource; If this is your first card this turn, ignore Guarded 1 on the quarry.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If the quarry is Marked, draw 1 then discard 1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 3. If retreating, preserve 1 gathered resource. If the quarry is Marked, draw 1 then discard 1. If this is your first card this turn, ignore Guarded 1 on the quarry.",{}
fullEffect-pass1-1,Gaxe,Gaxe — Technique,gaxeTechnique,added visible rider markedPressure,Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Also gain 3 block.,"Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Also gain 3 block; If the quarry is Marked, add +1 to one listed value.","Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Gain 3 block. On a failed harvest, keep one common fallback material.","Commit to a heavy chop; +3 break damage but failed fragile harvests worsen by one step. Gain 3 block. On a failed harvest, keep one common fallback material. If the quarry is Marked, add +1 to one listed value.",{}
fullEffect-pass1-2,Jack O' Lantern,Jack O' Lantern — Contingency,jackOLanternContingency,added visible rider allyCover,"When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 2 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 2 gathered resource; After this resolves, the lowest-HP ally gains Guarded 1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 2 gathered resource. If this breaks a weak point, improve harvest quality by one step unless it is already Clean.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 2 gathered resource. If this breaks a weak point, improve harvest quality by one step unless it is already Clean. After this resolves, the lowest-HP ally gains Guarded 1.",{}
fullEffect-pass1-3,Trom Bone (Hunt Phase),Trom Bone (Hunt Phase) — Contingency,tromBoneHuntPhaseContingency,added visible rider bloodPrice,"When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource.","When a hunt or monster consequence is previewed, reduce it by 2; on retreat, preserve 1 gathered resource; You may take Panic 1 to increase one listed value by 1.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If this is the only card you play this turn, gain +2 block.","When a hunt event, retreat roll, or monster consequence is previewed, reduce the penalty by 2. If retreating, preserve 1 gathered resource. If this is the only card you play this turn, gain +2 block. You may take Panic 1 to increase one listed value by 1.",{}
