equipmentName,weaponType,hands,colorAffinity,strategyId,strategyName,rampResource,payoffPattern,deckAdvice,cardIds,strategyAuditStatus
Sky Harpoon,spear,2,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,skyHarpoonOpeningStrike; skyHarpoonTechnique; skyHarpoonPayoff,PASS: weapon assigned a survivor strategy identity.
Sonic Tomahawk,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,sonicTomahawkOpeningStrike; sonicTomahawkTechnique; sonicTomahawkPayoff,PASS: weapon assigned a survivor strategy identity.
Soothing Whip,whip,1,red,weakPointBreaker,Weak-Point Breaker,Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.,soothingWhipOpeningStrike; soothingWhipTechnique; soothingWhipPayoff,PASS: weapon assigned a survivor strategy identity.
Spear of Fear,spear,2,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,spearOfFearOpeningStrike; spearOfFearTechnique; spearOfFearPayoff,PASS: weapon assigned a survivor strategy identity.
Noonshark Arrows,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,noonsharkArrowsOpeningStrike; noonsharkArrowsTechnique; noonsharkArrowsPayoff,PASS: weapon assigned a survivor strategy identity.
Noonshark Bow,bow,2,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,noonsharkBowOpeningStrike; noonsharkBowTechnique; noonsharkBowPayoff,PASS: weapon assigned a survivor strategy identity.
Noonspot Dart,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,noonspotDartOpeningStrike; noonspotDartTechnique; noonspotDartPayoff,PASS: weapon assigned a survivor strategy identity.
Switch Poleaxe,axe,1,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,switchPoleaxeOpeningStrike; switchPoleaxeTechnique; switchPoleaxePayoff,PASS: weapon assigned a survivor strategy identity.
Blade & Guard,sword,1,blue,blockToDamage,Block-to-Damage Engine,Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.,bladeAndGuardOpeningCut; bladeAndGuardTechnique; bladeAndGuardPayoff,PASS: weapon assigned a survivor strategy identity.
Talon Knife,dagger,1,red,comboTempo,Combo Tempo,Cards played this turn / cheap attacks,"Follow-up riders, extra draw, cost reduction and repeated attack bonuses.",Pair with draw/filtering so chain pieces appear together.,talonKnifeOpeningCut; talonKnifeTechnique; talonKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Throwing Knife,bow,1,red,rangedControl,Ranged Control,Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.,throwingKnifeOpeningStrike; throwingKnifeTechnique; throwingKnifePayoff,PASS: weapon assigned a survivor strategy identity.
Vespertine Arrow,bow,1,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,vespertineArrowOpeningStrike; vespertineArrowTechnique; vespertineArrowPayoff,PASS: weapon assigned a survivor strategy identity.
Vespertine Bow,bow,2,red,partySupport,Party Support Weapon,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.,vespertineBowOpeningStrike; vespertineBowTechnique; vespertineBowPayoff,PASS: weapon assigned a survivor strategy identity.
Whistling Mace,hammer,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,whistlingMaceOpeningStrike; whistlingMaceTechnique; whistlingMacePayoff,PASS: weapon assigned a survivor strategy identity.
Xmaxe,axe,1,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,xmaxeOpeningStrike; xmaxeTechnique; xmaxePayoff,PASS: weapon assigned a survivor strategy identity.
Zanbato,grandWeapon,2,red,heavyBreaker,Heavy Breaker,Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.,zanbatoOpeningStrike; zanbatoTechnique; zanbatoPayoff,PASS: weapon assigned a survivor strategy identity.
Zanbato (Broken),grandWeapon,2,red,panicRamp,Panic Furnace,Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.,zanbatoBrokenOpeningStrike; zanbatoBrokenTechnique; zanbatoBrokenPayoff,PASS: weapon assigned a survivor strategy identity.
