equipmentName,weaponType,hands,loadoutCategory,weaponLimitRule,slotAuditStatus,exampleAllowedPair,cardCopyInteraction
Round Hide Guard,shield,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Round Hide Guard + Round Hide Guard,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Scoopy Club,club,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Scoopy Club + Scoopy Club,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Scrap Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Scrap Knife + Scrap Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Scrap Guard,shield,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Scrap Guard + Scrap Guard,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Scrap Blade,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Scrap Blade + Scrap Blade,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Scymitaxe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Scymitaxe + Scymitaxe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Shaxe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Shaxe + Shaxe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Shielded Quiver,shield,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Shielded Quiver + Shielded Quiver,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Websilk Whip,whip,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Websilk Whip + Websilk Whip,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Silver Harp,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Silver Harp + Silver Harp,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Skullcap Hammer,hammer,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Skullcap Hammer + Skullcap Hammer,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Sky Harpoon,spear,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Sky Harpoon + Sky Harpoon,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Sonic Tomahawk,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Sonic Tomahawk + Sonic Tomahawk,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Soothing Whip,whip,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Soothing Whip + Soothing Whip,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Spear of Fear,spear,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Spear of Fear + Spear of Fear,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Noonshark Arrows,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Noonshark Arrows + Noonshark Arrows,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Noonshark Bow,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Noonshark Bow + Noonshark Bow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Noonspot Dart,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Noonspot Dart + Noonspot Dart,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Switch Poleaxe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Switch Poleaxe + Switch Poleaxe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Blade & Guard,sword,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Blade & Guard + Blade & Guard,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Talon Knife,dagger,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Talon Knife + Talon Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Throwing Knife,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Throwing Knife + Throwing Knife,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Vespertine Arrow,bow,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Vespertine Arrow + Vespertine Arrow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Vespertine Bow,bow,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Vespertine Bow + Vespertine Bow,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Whistling Mace,hammer,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Whistling Mace + Whistling Mace,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Xmaxe,axe,1,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Xmaxe + Xmaxe,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Zanbato,grandWeapon,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Zanbato + Zanbato,Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
Zanbato (Broken),grandWeapon,2,weapon,"A survivor may equip at most 2 weapon items. Those weapons may have the same name (for example, two Katars) or two different names. The number of distinct equipped weapon names can never exceed 2.",PASS: weapon limit allows same-name paired weapons and caps distinct weapon names at 2.,Zanbato (Broken) + Zanbato (Broken),Each equipped copy is a separate gearInstanceId and can train its own card copies up to 3 per card.
